area,Country/Region,Lat,Long,cases
,Central African Republic,6.6111,20.9394,11
,Chad,15.4542,18.7322,23
,Chile,-35.6751,-71.543,7917
Anhui,China,31.8257,117.2264,991
Beijing,China,40.1824,116.4142,589
Chongqing,China,30.0572,107.874,579
Fujian,China,26.0789,117.9874,353
Gansu,China,37.8099,101.0583,139
Guangdong,China,23.3417,113.4244,1564
Guangxi,China,23.8298,108.7881,254
Guizhou,China,26.8154,106.8748,146
Hainan,China,19.1959,109.7453,168
Hebei,China,39.549,116.1306,327
Heilongjiang,China,47.862,127.7615,819
Henan,China,33.882,113.614,1276
Hong Kong,China,22.3,114.2,1012
Hubei,China,30.9756,112.2707,67803
Hunan,China,27.6104,111.7088,1019
Inner Mongolia,China,44.0935,113.9448,190
Jiangsu,China,32.9711,119.455,653
Jiangxi,China,27.614,115.7221,937
Jilin,China,43.6661,126.1923,100
Liaoning,China,41.2956,122.6085,145
Macau,China,22.1667,113.55,45
Ningxia,China,37.2692,106.1655,75
Qinghai,China,35.7452,95.9956,18
Shaanxi,China,35.1917,108.8701,256
Shandong,China,36.3427,118.1498,784
Shanghai,China,31.202,121.4491,618
Shanxi,China,37.5777,112.2922,173
Sichuan,China,30.6171,102.7103,560
Tianjin,China,39.3054,117.323,185
Tibet,China,31.6927,88.0924,1
Xinjiang,China,41.1129,85.2401,76
Yunnan,China,24.974,101.487,184
Zhejiang,China,29.1832,120.0934,1267
,Colombia,4.5709,-74.2973,2979
,Congo (Brazzaville),-4.0383,21.7587,60
,Congo (Kinshasa),-4.0383,21.7587,241
,Costa Rica,9.7489,-83.7534,618
,Cote d'Ivoire,7.54,-5.5471,638
,Croatia,45.1,15.2,1704
,Diamond Princess,0,0,712
,Cuba,22,-80,766
,Cyprus,35.1264,33.4299,695
,Czechia,49.8175,15.473,6111
Faroe Islands,Denmark,61.8926,-6.9118,184
Greenland,Denmark,71.7069,-42.6043,11
,Denmark,56.2639,9.5018,6511
,Djibouti,11.8251,42.5903,363
,Dominican Republic,18.7357,-70.1627,3286
,Ecuador,-1.8312,-78.1834,7603
,Egypt,26,30,2350
,El Salvador,13.7942,-88.8965,149
,Equatorial Guinea,1.5,10,41
,Eritrea,15.1794,39.7823,34
,Estonia,58.5953,25.0136,1373
,Eswatini,-26.5225,31.4659,15
,Ethiopia,9.145,40.4897,82
,Fiji,-17.7134,178.065,16
,Finland,64,26,3161
French Guiana,France,3.9339,-53.1258,86
French Polynesia,France,-17.6797,149.4068,55
Guadeloupe,France,16.25,-61.5833,145
Mayotte,France,-12.8275,45.1662,217
New Caledonia,France,-20.9043,165.618,18
Reunion,France,-21.1351,55.2471,391
Saint Barthelemy,France,17.9,-62.8333,6
St Martin,France,18.0708,-63.0501,32
Martinique,France,14.6415,-61.0242,157
,France,46.2276,2.2137,130253
,Gabon,-0.8037,11.6094,57
,Gambia,13.4432,-15.3101,9
,Georgia,42.3154,43.3569,300
,Germany,51,9,131359
,Ghana,7.9465,-1.0232,636
,Greece,39.0742,21.8243,2170
,Guatemala,15.7835,-90.2308,167
,Guinea,9.9456,-9.6966,363
,Guyana,5,-58.75,47
,Haiti,18.9712,-72.2852,40
,Holy See,41.9029,12.4534,8
,Honduras,15.2,-86.2419,407
,Hungary,47.1625,19.5033,1512
,Iceland,64.9631,-19.0208,1720
,India,21,78,11487
,Indonesia,-0.7893,113.9213,4839
,Iran,32,53,74877
,Iraq,33,44,1400
,Ireland,53.1424,-7.6921,11479
,Israel,31,35,12046
,Italy,43,12,162488
,Jamaica,18.1096,-77.2975,73
,Japan,36,138,7645
,Jordan,31.24,36.51,397
,Kazakhstan,48.0196,66.9237,1232
,Kenya,-0.0236,37.9062,216
,"Korea, South",36,128,10564
,Kuwait,29.5,47.75,1355
,Kyrgyzstan,41.2044,74.7661,430
,Latvia,56.8796,24.6032,657
,Lebanon,33.8547,35.8623,641
,Liberia,6.4281,-9.4295,59
,Liechtenstein,47.14,9.55,79
,Lithuania,55.1694,23.8813,1070
,Luxembourg,49.8153,6.1296,3307
,Madagascar,-18.7669,46.8691,108
,Malaysia,2.5,112.5,4987
,Maldives,3.2028,73.2207,20
,Malta,35.9375,14.3754,393
,Mauritania,21.0079,10.9408,7
,Mauritius,-20.2,57.5,324
,Mexico,23.6345,-102.5528,5014
,Moldova,47.4116,28.3699,1934
,Monaco,43.7333,7.4167,93
,Mongolia,46.8625,103.8467,30
,Montenegro,42.5,19.3,283
,Morocco,31.7917,-7.0926,1888
,Namibia,-22.9576,18.4904,16
,Nepal,28.1667,84.25,16
Aruba,Netherlands,12.5186,-70.0358,92
Curacao,Netherlands,12.1696,-68.99,14
Sint Maarten,Netherlands,18.0425,-63.0548,52
,Netherlands,52.1326,5.2913,27419
,New Zealand,-40.9006,174.886,1366
,Nicaragua,12.8654,-85.2072,9
,Niger,17.6078,8.0817,570
,Nigeria,9.082,8.6753,373
,North Macedonia,41.6086,21.7453,908
,Norway,60.472,8.4689,6623
,Oman,21,57,813
,Pakistan,30.3753,69.3451,5837
,Panama,8.538,-80.7821,3472
,Papua New Guinea,-6.315,143.9555,2
,Paraguay,-23.4425,-58.4438,159
,Peru,-9.19,-75.0152,10303
,Philippines,13,122,5223
,Poland,51.9194,19.1451,7202
,Portugal,39.3999,-8.2245,17448
,Qatar,25.3548,51.1839,3428
,Romania,45.9432,24.9668,6879
,Russia,60,90,21102
,Rwanda,-1.9403,29.8739,134
,Saint Lucia,13.9094,-60.9789,15
,Saint Vincent and the Grenadines,12.9843,-61.2872,12
,San Marino,43.9424,12.4578,371
,Saudi Arabia,24,45,5369
,Senegal,14.4974,-14.4524,299
,Serbia,44.0165,21.0059,4465
,Seychelles,-4.6796,55.492,11
,Singapore,1.2833,103.8333,3252
,Slovakia,48.669,19.699,835
,Slovenia,46.1512,14.9955,1220
,Somalia,5.1521,46.1996,60
,South Africa,-30.5595,22.9375,2415
,Spain,40,-4,172541
,Sri Lanka,7,81,233
,Sudan,12.8628,30.2176,32
,Suriname,3.9193,-56.0278,10
,Sweden,63,16,11445
,Switzerland,46.8182,8.2275,25936
,Taiwan*,23.7,121,393
,Tanzania,-6.369,34.8888,53
,Thailand,15,101,2613
,Togo,8.6195,0.8248,77
,Trinidad and Tobago,10.6918,-61.2225,113
,Tunisia,34,9,747
,Turkey,38.9637,35.2433,65111
,Uganda,1,32,55
,Ukraine,48.3794,31.1656,3372
,United Arab Emirates,24,54,4933
Bermuda,United Kingdom,32.3078,-64.7505,57
Cayman Islands,United Kingdom,19.3133,-81.2546,54
Channel Islands,United Kingdom,49.3723,-2.3644,440
Gibraltar,United Kingdom,36.1408,-5.3536,129
Isle of Man,United Kingdom,54.2361,-4.5481,254
Montserrat,United Kingdom,16.7425,-62.1874,11
,United Kingdom,55.3781,-3.436,93873
,Uruguay,-32.5228,-55.7658,483
,US,37.0902,-95.7129,607670
,Uzbekistan,41.3775,64.5853,1165
,Venezuela,6.4238,-66.5897,189
,Vietnam,16,108,266
,Zambia,-15.4167,28.2833,45
,Zimbabwe,-20,30,17
,Dominica,15.415,-61.371,16
,Grenada,12.1165,-61.679,14
,Mozambique,-18.665695,35.529562,28
,Syria,34.802075,38.996815,29
,Timor-Leste,-8.874217,125.727539,6
,Belize,13.1939,-59.5432,18
,Laos,19.85627,102.495496,19
,Libya,26.3351,17.228331,35
,West Bank and Gaza,31.9522,35.2332,308
,Guinea-Bissau,11.8037,-15.1804,38
,Mali,17.570692,-3.996166,144
,Saint Kitts and Nevis,17.357822,-62.782998,14
Northwest Territories,Canada,64.8255,-124.8457,5
Yukon,Canada,64.2823,-135,8
,Kosovo,42.602636,20.902977,387
,Burma,21.9162,95.956,63
Anguilla,United Kingdom,18.2206,-63.0686,3
British Virgin Islands,United Kingdom,18.4207,-64.64,3
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,10
,MS Zaandam,0,0,9
,Botswana,-22.3285,24.6849,13
,Burundi,-3.3731,29.9189,5
,Sierra Leone,8.460555,-11.779889,11
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,3
,Malawi,-13.254308,34.301525,16
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,11
Saint Pierre and Miquelon,France,46.8852,-56.3159,1
,South Sudan,6.877,31.307,4
,Western Sahara,24.2155,-12.8858,6
,Sao Tome and Principe,0.18636,6.613081,4
,Yemen,15.552727,48.516388,1
Accomack County,VA,37.7063323,-75.8069082,15
Albemarle County,VA,38.0567092,-78.6114999,50
Alleghany County,VA,38.8816208,-77.0909809,4
Amelia County,VA,38.2004562,-79.2451149,9
Amherst County,VA,37.5774613,-79.7848422,10
Appomattox County,VA,37.3673217,-77.6077865,7
Arlington County,VA,39.1516583,-77.973865,401
Augusta County,VA,37.4465895,-80.2321313,17
Bath County,VA,38.491821,-77.973865,0
Bedford County,VA,37.5175385,-78.2476146,16
Bland County,VA,37.0929465,-82.345189,0
Botetourt County,VA,37.0769043,-77.6536125,23
Brunswick County,VA,37.9671684,-76.964306,9
Buchanan County,VA,38.9085472,-77.2405153,12
Buckingham County,VA,38.7208787,-77.7909776,18
Campbell County,VA,36.9446308,-80.3213106,11
Caroline County,VA,37.8532863,-78.2476146,7
Carroll County,VA,36.9458815,-79.8296743,3
Charles City County,VA,39.2096441,-78.2601024,9
Charlotte County,VA,37.3132885,-80.6770787,4
Chesterfield County,VA,37.4128281,-76.5025742,241
Clarke County,VA,37.7415997,-77.973865,5
Craig County,VA,36.6721195,-81.2078164,2
Culpeper County,VA,38.3120359,-78.4524591,24
Cumberland County,VA,36.6056886,-77.6077865,8
Dickenson County,VA,36.6945049,-78.9288242,0
Dinwiddie County,VA,37.7772071,-77.5160788,7
Essex County,VA,37.5059332,-77.3324425,0
Fairfax County,VA,36.6588867,-79.9640339,1207
Fauquier County,VA,38.3999743,-79.6052884,28
Floyd County,VA,36.9288915,-76.6874701,1
Fluvanna County,VA,37.3002132,-76.8028933,40
Franklin County,VA,37.7298568,-76.8951551,15
Frederick County,VA,38.2372863,-77.1485163,71
Giles County,VA,37.7372121,-77.1485163,4
Gloucester County,VA,37.7475945,-76.5025742,20
Goochland County,VA,36.7075931,-83.0361376,39
Grayson County,VA,39.076767,-77.6536125,0
Greene County,VA,37.9925909,-77.973865,5
Greensville County,VA,36.9261435,-78.2476146,15
Halifax County,VA,38.436934,-78.2476146,7
Hanover County,VA,37.3912302,-76.317414,52
Henrico County,VA,36.6421724,-78.3842227,432
Henry County,VA,37.6040106,-76.5257007,8
Highland County,VA,37.2070304,-80.4103957,0
Isle of Wight County,VA,37.7478599,-78.8835548,60
James City County,VA,37.4653757,-76.964306,128
King and Queen County,VA,37.226762,-75.9927652,2
King George County,VA,37.9035732,-76.4100267,16
King William County,VA,37.1148487,-78.0195387,2
Lancaster County,VA,38.2426674,-77.973865,1
Lee County,VA,38.6301331,-78.52065,6
Loudoun County,VA,36.6886252,-80.3213106,344
Louisa County,VA,36.7440186,-79.4703885,27
Lunenburg County,VA,37.5643209,-77.8824596,3
Madison County,VA,37.1982888,-78.4297187,7
Matthews County,VA,37.1593052,-77.2405153,3
Mecklenburg County,VA,38.7838939,-77.6077865,57
Middlesex County,VA,37.0583986,-80.6770787,3
Montgomery County,VA,38.6762327,-78.1564432,33
Nelson County,VA,37.9175609,-76.7105632,5
New Kent County,VA,37.2467123,-80.1205256,15
Northampton County,VA,37.8062214,-79.5153773,4
Northumberland County,VA,38.5825919,-78.8835548,4
Nottoway County,VA,36.9904385,-82.0842901,5
Orange County,VA,36.6815794,-82.605118,15
Page County,VA,38.8413778,-78.5660852,6
Patrick County,VA,36.8687921,-81.5596427,0
Pittsylvania County,VA,36.6788512,-77.1024902,4
Powhatan County,VA,38.204165,-77.6077865,5
Prince Edward County,VA,38.4334566,-77.4242972,13
Prince George County,VA,37.1185515,-76.8720961,27
Prince William County,VA,36.9058167,-77.2405153,508
Pulaski County,VA,37.124747,-81.5596427,4
Rappahannock County,VA,38.9331749,-78.2476146,1
Richmond County,VA,36.7678354,-81.9534815,7
Roanoke County,VA,38.112732,-76.7798172,16
Rockbridge County,VA,37.0240877,-82.605118,3
Rockingham County,VA,36.9484414,-81.0848477,56
Russell County,VA,37.2103925,-76.3868797,2
Scott County,VA,38.8048355,-77.0469214,3
Shenandoah County,VA,36.595142,-82.1887368,23
Smyth County,VA,37.7343004,-79.3539238,11
Southampton County,VA,38.0293059,-78.4766781,6
Spotsylvania County,VA,36.7682088,-76.2874927,56
Stafford County,VA,37.244039,-77.4102607,95
Surry County,VA,37.7934585,-79.9939463,3
Sussex County,VA,36.5859718,-79.3950228,8
Tazewell County,VA,36.6859829,-77.5424809,4
Warren County,VA,38.8462236,-77.3063733,19
Washington County,VA,38.882334,-77.1710914,27
Westmoreland County,VA,36.6776507,-76.9224608,8
Wise County,VA,38.3031837,-77.4605399,14
Wythe County,VA,36.6612387,-80.9239671,7
York County,VA,37.0298687,-76.3452218,35
Alexandria City,VA,38.4495688,-78.8689155,247
Bristol city,VA,37.3043154,-77.2872001,1
Buena Vista city,VA,37.7840208,-79.4428157,4
Charlottesville City,VA,37.4137536,-79.1422464,36
Chesapeake City,VA,38.7509488,-77.4752667,136
Colonial Heights city,VA,38.7840035,-77.4697111,16
Covington city,VA,36.6915262,-79.8725386,1
Danville City,VA,37.0870821,-76.4730122,22
Emporia city,VA,36.8507689,-76.2858726,8
Fairfax city,VA,36.933433,-82.6290459,0
Falls Church city,VA,37.2279279,-77.4019267,0
Franklin city,VA,37.1223664,-76.3457773,7
Fredericksburg City,VA,36.8354258,-76.2982742,14
Galax city,VA,37.1317924,-80.5764477,1
Hampton city,VA,37.5407246,-77.4360481,73
Harrisonburg City,VA,37.2709704,-79.9414266,95
Hopewell city,VA,37.2934681,-80.0547626,14
Lexington city,VA,38.149576,-79.0716958,3
Lynchburg city,VA,36.7282054,-76.5835621,33
Manassas City,VA,36.8529263,-75.977985,49
Manassas Park city,VA,38.0684692,-78.8894682,13
Martinsville city,VA,37.2707022,-76.7074571,0
Newport News City,VA,39.1856597,-78.1633341,93
Barbour County,WV,39.1398692,-80.0087746,4
Berkeley County,WV,39.4885604,-78.0651931,99
Boone County,WV,37.9838605,-81.734942,1
Braxton County,WV,38.7023371,-80.7214417,1
Brooke County,WV,40.2697757,-80.5660657,3
Cabell County,WV,38.4391927,-82.2583297,29
Calhoun County,WV,38.857973,-81.1196075,0
Clay County,WV,38.4417717,-81.1196075,0
Doddridge County,WV,39.2367791,-80.6770787,0
Fayette County,WV,38.0615913,-81.0754657,2
Gilmer County,WV,38.9203312,-80.8543847,0
Grant County,WV,39.1042079,-79.1548533,1
Greenbrier County,WV,38.0198478,-80.543845,3
Hampshire County,WV,39.3349019,-78.5660852,7
Hancock County,WV,40.5123559,-80.5660657,7
Hardy County,WV,39.0416116,-78.9288242,2
Harrison County,WV,39.3348126,-80.365865,28
Jackson County,WV,38.8139943,-81.647344,31
Jefferson County,WV,39.3059841,-77.8824596,54
Kanawha County,WV,38.2556905,-81.4278984,86
Lewis County,WV,39.0196167,-80.543845,2
Lincoln County,WV,38.1761009,-82.0842901,1
Logan County,WV,37.7883016,-81.9534815,8
McDowell County,WV,37.3860467,-81.647344,6
Marion County,WV,39.5288627,-80.2321313,39
Marshall County,WV,39.8926818,-80.6770787,7
Mason County,WV,38.7553693,-81.9971108,9
Mercer County,WV,37.4322638,-81.1196075,8
Mineral County,WV,39.4068988,-78.8835548,5
Mingo County,WV,37.7607801,-82.1713632,1
Monongalia County,WV,39.6695849,-79.9640339,82
Monroe County,WV,37.5601958,-80.5882803,1
Morgan County,WV,39.5073361,-78.2476146,6
Nicholas County,WV,38.3307714,-80.7657804,2
Ohio County,WV,40.1111311,-80.610489,22
Pendleton County,WV,38.7451767,-79.2902133,1
Pleasants County,WV,39.3761707,-81.1416691,1
Pocahontas County,WV,38.3101706,-80.0087746,0
Preston County,WV,39.5641007,-79.6951103,6
Putnam County,WV,38.4991939,-81.909826,13
Raleigh County,WV,37.7381597,-81.2518833,6
Randolph County,WV,38.8092552,-80.0087746,4
Ritchie County,WV,39.1822303,-81.0312989,0
Roane County,WV,38.7564882,-81.4278984,2
Summers County,WV,37.5812062,-80.8543847,1
Taylor County,WV,39.3417635,-79.9640339,4
Tucker County,WV,39.1083806,-79.6502105,4
Tyler County,WV,39.4977025,-80.8543847,3
Upshur County,WV,38.8696797,-80.2321313,3
Wayne County,WV,38.1598501,-82.4752757,60
Webster County,WV,38.5070383,-80.365865,0
Wetzel County,WV,39.5655978,-80.6770787,3
Wirt County,WV,39.0436093,-81.3839326,2
Wood County,WV,39.2154345,-81.4718387,22
Wyoming County,WV,37.6339466,-81.5596427,1
Kent County,DE,39.1441,-75.435,329
New Castle County,DE,39.5393,-75.6674,947
Sussex County,DE,38.6531,-75.4345,639
Adair County,KY,37.076403,-85.3136218,43
Anderson County,KY,37.998648,-84.981754,4
Barren County,KY,36.9676836,-85.8486236,5
Boone County,KY,38.9940572,-84.7315563,56
Bourbon County,KY,38.2170752,-84.2278796,4
Boyd County,KY,38.3833265,-82.6915429,24
Boyle County,KY,37.6526034,-84.8150781,12
Bracken County,KY,38.7117016,-84.059029,5
Bullitt County,KY,37.9842107,-85.684578,30
Butler County,KY,37.2086395,-86.7013894,24
Caldwell County,KY,37.1501019,-87.8942451,10
Calloway County,KY,36.6402766,-88.285042,15
Campbell County,KY,38.8951891,-84.3962535,47
Christian County,KY,36.8410586,-87.460397,71
Clark County,KY,37.959945,-84.1435136,18
Daviess County,KY,37.7307984,-87.1023746,89
Edmonson County,KY,37.1941682,-86.2158497,7
Fayette County,KY,38.0606478,-84.4802606,206
Franklin County,KY,38.2481018,-84.8984775,11
Grant County,KY,38.6565245,-84.6479124,14
Graves County,KY,36.6887728,-88.7108964,16
Grayson County,KY,37.4554962,-86.3782198,5
Greenup County,KY,38.5665695,-82.9501558,7
Hardin County,KY,37.6565708,-86.0121573,25
Harrison County,KY,38.4333045,-84.3542049,14
Henderson County,KY,37.7415161,-87.5791287,20
Henry County,KY,38.4268385,-85.1479364,3
Hopkins County,KY,37.3153093,-87.5791287,91
Jackson County,KY,37.4023274,-84.0167423,23
Jefferson County,KY,38.1938097,-85.643487,573
Jessamine County,KY,37.895573,-84.564147,29
Johnson County,KY,37.8048335,-82.8640623,1
Kenton County,KY,38.9863872,-84.564147,106
Larue County,KY,37.5189552,-85.7256372,4
Laurel County,KY,37.0693489,-84.1857115,11
Lewis County,KY,38.5079686,-83.3789389,2
Lincoln County,KY,37.4751264,-84.6479124,1
Livingston County,KY,37.2431347,-88.362785,1
Logan County,KY,36.869834,-86.8621827,10
Lyon County,KY,37.0247261,-88.0900762,13
McCracken County,KY,37.0330607,-88.7108964,24
McCreary County,KY,36.6973499,-84.4802606,9
McLean County,KY,37.5644352,-87.2618328,6
Madison County,KY,37.7143001,-84.3121264,21
Marion County,KY,37.585137,-85.2308414,11
Marshall County,KY,36.8573767,-88.4016041,12
Martin County,KY,37.7833756,-82.5185837,1
Mason County,KY,38.6194103,-83.8897057,6
Meade County,KY,37.9601502,-86.2158497,2
Menifee County,KY,37.9335368,-83.634843,3
Mercer County,KY,37.8258603,-84.8984775,9
Monroe County,KY,36.7484915,-85.7256372,3
Montgomery County,KY,38.0314578,-83.8897057,8
Muhlenberg County,KY,37.1772501,-87.1422895,47
Nelson County,KY,37.7647455,-85.4788065,13
Nicholas County,KY,38.3767625,-84.059029,1
Ohio County,KY,37.5108523,-86.8220341,8
Oldham County,KY,38.3560025,-85.4788065,19
Owsley County,KY,37.4294933,-83.7199136,2
Pendleton County,KY,38.7283386,-84.3962535,3
Perry County,KY,37.3160706,-83.2077645,4
Pike County,KY,37.4842087,-82.4752757,5
Pulaski County,KY,37.0853508,-84.5222189,31
Rockcastle County,KY,37.3743065,-84.3121264,9
Russell County,KY,36.9806476,-85.0649071,8
Scott County,KY,38.3172361,-84.564147,21
Shelby County,KY,38.1778076,-85.2308414,19
Simpson County,KY,36.7772014,-86.6207943,17
Spencer County,KY,38.0123167,-85.3136218,9
Taylor County,KY,37.332884,-85.3136218,4
Todd County,KY,36.8338638,-87.1422895,8
Trigg County,KY,36.8473642,-87.7763333,4
Trimble County,KY,38.6013284,-85.3136218,1
Union County,KY,37.6638744,-87.972681,5
Warren County,KY,36.9886043,-86.4996546,52
Washington County,KY,37.7516142,-85.1479364,3
Wayne County,KY,36.7571907,-84.8567932,5
Webster County,KY,37.4892188,-87.7369607,9
Whitley County,KY,36.726335,-84.1857115,5
Autauga County,AL,32.5791817,-86.4996546,23
Baldwin County,AL,30.6010744,-87.7763333,87
Barbour County,AL,31.8172896,-85.354965,11
Bibb County,AL,32.9562798,-87.1422895,17
Blount County,AL,34.0145152,-86.4996546,16
Bullock County,AL,32.0573536,-85.7256372,8
Butler County,AL,31.6760284,-86.6611083,8
Calhoun County,AL,33.7701576,-85.80766,62
Chambers County,AL,32.9028048,-85.354965,216
Cherokee County,AL,34.1665322,-85.684578,9
Chilton County,AL,32.944392,-86.6611083,33
Choctaw County,AL,32.0716631,-88.2461183,12
Clarke County,AL,31.7002461,-87.7763333,21
Clay County,AL,33.279527,-85.8486236,14
Cleburne County,AL,33.6261707,-85.520024,12
Coffee County,AL,31.4751172,-86.0121573,36
Colbert County,AL,34.7117567,-87.8942451,11
Conecuh County,AL,31.501571,-86.9824288,5
Coosa County,AL,32.8897772,-86.2196937,18
Covington County,AL,31.3066438,-86.4996546,16
Crenshaw County,AL,31.6671872,-86.3376761,3
Cullman County,AL,34.2011537,-86.8220341,40
Dale County,AL,31.4645298,-85.684578,12
Dallas County,AL,32.2332138,-87.1422895,17
DeKalb County,AL,34.5211397,-85.684578,29
Elmore County,AL,32.5647083,-86.0121573,43
Escambia County,AL,31.1394734,-87.1422895,10
Etowah County,AL,34.0455341,-86.0529604,78
Fayette County,AL,33.6871392,-87.7763333,4
Franklin County,AL,34.3967457,-87.6186379,12
Geneva County,AL,31.0990456,-85.684578,1
Greene County,AL,32.9718107,-87.9334803,18
Hale County,AL,32.7859102,-87.6186379,17
Henry County,AL,31.4469377,-85.1894045,14
Houston County,AL,31.1318686,-85.3136218,52
Jackson County,AL,34.7090388,-86.0121573,29
Jefferson County,AL,33.4914122,-86.9824288,620
Lamar County,AL,33.6923649,-88.0900762,7
Lauderdale County,AL,34.8840876,-87.658113,22
Lawrence County,AL,34.567428,-87.3016132,8
Lee County,AL,32.5888702,-85.3962769,265
Limestone County,AL,34.7800072,-86.9423801,37
Lowndes County,AL,32.221464,-86.6611083,19
Macon County,AL,32.3731182,-85.684578,19
Madison County,AL,34.7239731,-86.4996546,191
Marengo County,AL,32.2459085,-87.7763333,23
Marion County,AL,34.0441174,-87.7763333,58
Marshall County,AL,34.3652297,-86.3376761,104
Mobile County,AL,30.6082227,-88.2461183,509
Monroe County,AL,31.5119068,-87.460397,7
Montgomery County,AL,32.2077447,-86.1751759,161
Morgan County,AL,34.4240875,-86.8621827,41
Perry County,AL,32.598888,-87.3016132,7
Pickens County,AL,33.3339954,-88.0900762,24
Pike County,AL,31.8395163,-86.0121573,22
Randolph County,AL,33.2681523,-85.520024,45
Russell County,AL,32.3552497,-85.1894045,30
St. Clair County,AL,33.6530112,-86.3376761,45
Shelby County,AL,33.3039292,-86.6611083,235
Sumter County,AL,32.6155551,-88.2461183,26
Talladega County,AL,33.4231716,-86.1344697,38
Tallapoosa County,AL,32.9201244,-85.8486236,123
Tuscaloosa County,AL,33.3227653,-87.460397,122
Walker County,AL,33.8563605,-87.3016132,84
Washington County,AL,31.3422346,-88.2461183,12
Wilcox County,AL,32.0105439,-87.3413599,31
Winston County,AL,34.1690087,-87.3413599,4
Aleutians East Borough,AK,55.5388006,-161.8988535,0
Aleutians West Census Area,AK,52.3232697,-174.1596072,0
Municipality of Anchorage,AK,61.2180556,-149.9002778,136
Bethel Census Area,AK,61.093446,-160.8640773,1
Bristol Bay Borough,AK,58.7578504,-156.7792687,0
Denali Borough,AK,63.8257173,-149.7317835,0
Dillingham Census Area,AK,59.8067792,-157.7242585,0
Fairbanks North Star Borough,AK,64.9526102,-146.4744154,79
Haines Borough,AK,59.1392237,-135,0
Hoonah-Angoon Census Area,AK,58.3176505,-136.0390896,0
City and Borough of Juneau,AK,58.5541934,-134.4769931,18
Kenai Peninsula Borough,AK,60.0858486,-151.382264,15
Ketchikan Gateway Borough,AK,55.5103345,-131.389286,15
Kodiak Island Borough,AK,57.5369343,-153.2659352,0
Kusilvak Census Area,AK,62.1458336,-162.891919,0
Lake and Peninsula Borough,AK,58.0458356,-156.5982286,0
Matanuska-Susitna Borough,AK,62.2599347,-150.1729153,15
Nome Census Area,AK,64.8329974,-164.256602,0
North Slope Borough,AK,69.0578758,-152.8628274,0
Northwest Arctic Borough,AK,67.2872981,-160.0342624,0
Petersburg Census Area,AK,56.8124267,-132.9554472,2
Prince of Wales-Hyder Census Area,AK,55.3242244,-132.6044581,2
Sitka City and Borough,AK,57.0530556,-135.33,0
Skagway Municipality,AK,59.4554025,-135.315279,0
Southeast Fairbanks Census Area,AK,63.9603869,-143.6296999,1
Valdez-Cordova Census Area,AK,61.4787707,-144.1147195,0
Wade Hampton Census Area,AK,62.1458336,-162.891919,0
Wrangell City and Borough,AK,56.4708333,-132.3766666,0
Yakutat City and Borough,AK,59.5469878,-139.7272808,0
Yukon-Koyukuk Census Area,AK,65.8443666,-153.4302993,1
Apache County,AZ,35.5313224,-109.3783206,97
Cochise County,AZ,31.828458,-109.949686,15
Coconino County,AZ,35.6647545,-111.4752851,270
Gila County,AZ,33.6370567,-110.5215459,3
Graham County,AZ,33.076805,-109.7591675,2
Greenlee County,AZ,33.2405598,-109.2831531,2
La Paz County,AZ,34.0061091,-113.9536466,4
Maricopa County,AZ,33.2917968,-112.4291464,2056
